Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
2,2,3,290,511,32,128,418.87611000000004,532.8,951.67611,0.010320678215997052,0.0,0,0,1331.9369701437522,187.0,-6.882887292529541e-12,39.333333333328746,0.9978488308140183,0.7955383574992825,0.9292347495095848,0.487238,0.444,0.931238,0.4833,0.444,0.9273
3,2,3,290,511,32,128,338.53302,658.3199999999999,996.85302,0.0091324200913242,0.0007285974499089253,0,0,1328.835616438356,187.27249544626594,-6.882887292529541e-12,39.333333333328746,0.9737203938411991,0.9216639481339237,0.9176172213357862,0.39378266666666667,0.5486,0.9423826666666667,0.3906,0.5486,0.9392
4,2,3,300,511,22,88,450.545328,483.36,933.905328,0.006194081211286993,0.0,0,0,1366.7240192704749,142.0,58.99999999999656,-6.882887292529541e-12,0.9831681216626542,0.6728724829208458,0.9112746737560284,0.5240757333333333,0.4028,0.9268757333333333,0.51984,0.4028,0.92264
5,2,3,285,511,37,148,351.48151800000005,639.6,991.0815180000001,0.009234828496042216,0.00037509377344336085,0,0,1306.1873350923481,209.65716429107277,-6.882887292529541e-12,39.333333333328746,0.9829198217185425,0.9482164233783091,0.9257575297346077,0.4088444,0.533,0.9418444,0.40554,0.533,0.93854
6,2,3,280,511,42,168,350.70148800000004,641.7600000000001,992.4614880000001,0.01056338028169014,0.0,0,0,1286.619718309859,232.0,-6.882887292529541e-12,39.333333333328746,0.9822133497904255,0.8731031623051202,0.9259689322222664,0.4079370666666667,0.5348,0.9427370666666667,0.40464,0.5348,0.93944
7,2,3,275,511,47,188,360.685872,629.04,989.725872,0.0060189165950128975,0.0,0,0,1252.396818572657,254.5,58.99999999999656,-6.882887292529541e-12,0.9878535740768603,0.9688496863955742,0.932287732531706,0.4195509333333333,0.5242,0.9437509333333334,0.41616,0.5242,0.94036
8,2,3,275,511,47,188,394.53917400000006,574.32,968.8591740000002,0.006677140612725845,0.0004177109440267335,0,0,1254.0259230164966,254.7126148705096,58.99999999999656,-6.882887292529541e-12,0.9995599689787175,0.92426861474421,0.9371166580686418,0.4589292,0.4786,0.9375292,0.45522,0.4786,0.93382
9,2,3,275,511,47,188,408.11169600000005,553.68,961.791696,0.007587253414264037,0.0008661758336942399,0,0,1256.2784522003035,254.94088349935035,58.99999999999656,-6.882887292529541e-12,0.9997976739523485,0.9059577558922258,0.9359273991877158,0.4747168,0.4614,0.9361168,0.47088,0.4614,0.93228
10,2,3,275,511,47,188,431.668602,516.96,948.628602,0.005034160373966199,0.0,0,0,1249.9595469255664,254.5,-6.882887292529541e-12,39.333333333328746,0.9941898986029277,0.8627722912343139,0.9274979169421524,0.5021182666666667,0.4308,0.9329182666666667,0.49806,0.4308,0.92886
1,3,1,385,511,7,28,527.7682980000001,381.36,909.1282980000001,0.01197429906542056,0.0,0,0,1773.9909462616822,74.5,118.0,118.0,0.9082639244503107,0.8670465165936394,0.8462310727344902,0.6139017333333333,0.3178,0.9317017333333333,0.60894,0.3178,0.92674
2,3,1,410,511,7,28,476.130312,447.12,923.250312,0.014211886304909561,0.0,0,0,1897.4418604651162,74.5,39.333333333328746,-6.882887292529541e-12,0.9631405551838799,0.7735347538773155,0.8922883402198143,0.5538362666666666,0.3726,0.9264362666666667,0.54936,0.3726,0.92196
