Seed,WiFi_Nodes,NRU_Nodes,WiFi_CW_Min,WiFi_CW_Max,NRU_CW_Min,NRU_CW_Max,WiFi_Throughput,NRU_Throughput,Total_Throughput,WiFi_PLR,NRU_PLR,WiFi_Latency,NRU_Latency,WiFi_Access_Delay,NRU_Access_Delay,WiFi_SINR,NRU_SINR,Traditional_Fairness,Jains_Fairness,Joint_Metric,WiFi_COT,NRU_COT,Total_COT,WiFi_Efficiency,NRU_Efficiency,Total_Efficiency
7,2,1,415,511,52,208,434.788722,480.0,914.788722,0.007831968672125312,0.0,0,0,1896.7524029903882,277.0,58.99999999999656,-6.882887292529541e-12,0.9865523379795037,0.8585039216423624,0.8935674123993244,0.5057476,0.4,0.9057476,0.50166,0.4,0.90166
8,2,1,415,511,52,208,429.79653,488.15999999999997,917.9565299999999,0.002895403546869345,0.0,0,0,1878.314332247557,277.0,58.99999999999656,-6.882887292529541e-12,0.9895587122856296,0.8494158200911943,0.89727312648368,0.49994066666666664,0.4068,0.9067406666666666,0.4959,0.4068,0.9027
9,2,1,415,511,52,208,423.088272,497.04,920.128272,0.0036737692872887582,0.0,0,0,1881.2215282880236,277.0,58.99999999999656,-6.882887292529541e-12,0.9926596892263108,0.8385382141682639,0.8996848003501203,0.4921376,0.4142,0.9063376,0.48816,0.4142,0.90236
10,2,1,415,511,52,208,428.08046400000006,489.84000000000003,917.920464,0.0036310820624546117,0.0,0,0,1881.0620915032682,277.0,-6.882887292529541e-12,118.0,0.9902863633004567,0.8469939925713322,0.8973425745392561,0.49794453333333333,0.4082,0.9061445333333333,0.49392,0.4082,0.90212
1,2,2,415,511,52,208,359.437824,601.68,961.1178239999999,0.0034602076124567475,0.0,0,0,1880.423875432526,277.0,58.99999999999656,-6.882887292529541e-12,0.9918595983522427,0.8456188543691484,0.9120141071972084,0.4180992,0.5014,0.9194992,0.41472,0.5014,0.91612
2,2,2,415,511,52,208,361.465902,598.08,959.5459020000001,0.004297378599054577,0.0024019215372297837,0,0,1883.5507090674687,278.33066453162525,-6.882887292529541e-12,58.99999999999656,0.9928561978687779,0.853683682429705,0.9122941250229623,0.4204582666666667,0.4984,0.9188582666666667,0.41706,0.4984,0.91546
3,2,2,415,511,52,208,390.17100600000003,552.96,943.1310060000001,0.0023932987634623054,0.0,0,0,1876.4389708815315,277.0,-6.882887292529541e-12,58.99999999999656,0.9999422343485896,0.781567577470571,0.9145952980881,0.45384813333333335,0.4608,0.9146481333333333,0.45018,0.4608,0.91098
4,2,2,415,511,52,208,353.197584,610.32,963.517584,0.01048951048951049,0.0007858546168958742,0,0,1906.6783216783217,277.4353634577603,58.99999999999656,-6.882887292529541e-12,0.9888213797266489,0.8634362540113956,0.9091624567472725,0.4108405333333333,0.5086,0.9194405333333333,0.40752,0.5086,0.91612
5,2,2,415,511,52,208,373.63437,577.1999999999999,950.8343699999999,0.006636250518457071,0.0,0,0,1892.2863956864371,277.0,58.99999999999656,-6.882887292529541e-12,0.997439870382565,0.8014046399109822,0.9132685795606347,0.43461266666666665,0.481,0.9156126666666666,0.4311,0.481,0.9121
6,2,2,415,511,52,208,378.782568,569.28,948.062568,0.006546644844517185,0.0,0,0,1891.9517184942715,277.0,-6.882887292529541e-12,58.99999999999656,0.998637393011217,0.7955591333557374,0.9137542798184828,0.44060106666666665,0.4744,0.9150010666666667,0.43704,0.4744,0.91144
